,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,78.75,69,40,14.97,BR,1635016282
1,kahului,20.8947,-156.47,81.66,78,40,14.97,US,1635016283
2,ponta do sol,32.6667,-17.1,70.43,53,24,4.52,PT,1635016283
3,rikitea,-23.1203,-134.9692,74.77,82,96,20.58,PF,1635016283
4,bathsheba,13.2167,-59.5167,86.61,66,40,21.85,BB,1635016284
5,swift current,50.2834,-107.8014,43.61,70,75,24.16,CA,1635016158
6,busselton,-33.65,115.3333,52.09,79,100,5.64,AU,1635016284
7,cherskiy,68.75,161.3,-1.66,99,98,2.39,RU,1635016284
8,hasaki,35.7333,140.8333,39.6,49,2,8.88,JP,1635016285
9,hobart,-42.8794,147.3294,51.03,92,75,1.99,AU,1635016285
10,qaanaaq,77.484,-69.3632,-0.76,57,0,8.43,GL,1635016285
11,barrow,71.2906,-156.7887,28.42,86,90,17.27,US,1635016286
12,saldanha,-33.0117,17.9442,60.3,70,69,5.86,ZA,1635016286
13,barcelos,41.5388,-8.6151,61.84,75,91,2.86,PT,1635016286
14,longhua,23.6137,114.1919,57.52,87,89,3.04,CN,1635016287
15,takhli,15.2634,100.3438,73.6,87,12,7.49,TH,1635016287
16,mataura,-46.1927,168.8643,49.48,97,100,0.4,NZ,1635016287
17,yellowknife,62.456,-114.3525,43.29,84,99,18.01,CA,1635016287
18,lata,40.1629,-8.3327,59.81,60,98,1.66,PT,1635016288
19,ancud,-41.8697,-73.8203,59.43,59,2,11.21,CL,1635016288
20,ushuaia,-54.8,-68.3,33.46,93,75,29.93,AR,1635016288
21,bambous virieux,-20.3428,57.7575,74.21,78,30,10.54,MU,1635016289
22,cape town,-33.9258,18.4232,61.27,68,22,1.01,ZA,1635016268
23,marawi,7.9986,124.2928,66.65,91,93,4.0,PH,1635016289
24,chokurdakh,70.6333,147.9167,-2.47,98,100,6.02,RU,1635016289
25,graciano sanchez,23.9167,-99.2833,83.35,57,1,5.86,MX,1635016290
26,rokytne,51.2796,27.214,43.09,76,87,11.21,UA,1635016290
27,upernavik,72.7868,-56.1549,19.74,83,100,6.58,GL,1635016290
28,bubaque,11.2833,-15.8333,84.13,69,97,9.22,GW,1635016291
29,saint-pierre,-21.3393,55.4781,74.88,85,0,4.61,RE,1635016291
30,sharan,54.8167,54.0,43.88,79,60,7.47,RU,1635016291
31,clyde river,70.4692,-68.5914,22.91,79,94,17.16,CA,1635016291
32,vardo,70.3705,31.1107,33.89,74,100,16.58,NO,1635016292
33,oni,42.5794,43.4425,48.04,76,0,4.14,GE,1635016292
34,namatanai,-3.6667,152.4333,79.02,81,29,7.11,PG,1635016292
35,delano,35.7688,-119.247,68.07,40,20,5.77,US,1635016293
36,linkoping,58.4109,15.6216,34.52,88,18,3.44,SE,1635016293
37,albany,42.6001,-73.9662,55.58,58,96,1.01,US,1635016050
